You entered a buffer length of 20,,x_20,y_20_up,z_20,z_20_up,,,,,,,,,,,,y_100
Average X value:,0.087365, Average Y value:,1.454483, Average Z value:,0.342929, Max X values:,0.245559,-0.149118, Max Y values:,2.449551,0.295611, Max Z values:,0.245559,-0.149118,,,1.03669
Average X value:,0.067472, Average Y value:,1.36995, Average Z value:,0.32823, Max X values:,0.234206,-0.152292, Max Y values:,2.449551,0.25557, Max Z values:,0.234206,-0.152292,,,1.036095
Average X value:,0.048605, Average Y value:,1.272966, Average Z value:,0.314662, Max X values:,0.234206,-0.160471, Max Y values:,2.449551,0.205518, Max Z values:,0.234206,-0.160471,,,1.034057
Average X value:,0.030513, Average Y value:,1.166197, Average Z value:,0.301654, Max X values:,0.234206,-0.166209, Max Y values:,2.449551,0.160837, Max Z values:,0.234206,-0.166209,,,1.031999
Average X value:,0.010041, Average Y value:,1.050888, Average Z value:,0.2919, Max X values:,0.21443,-0.175243, Max Y values:,2.449551,0.1081, Max Z values:,0.21443,-0.175243,,,1.029896
Average X value:,-0.009083, Average Y value:,0.931411, Average Z value:,0.286364, Max X values:,0.167796,-0.175243, Max Y values:,2.372398,0.060001, Max Z values:,0.167796,-0.175243,,,1.027184
Average X value:,-0.026253, Average Y value:,0.813764, Average Z value:,0.283336, Max X values:,0.167796,-0.177806, Max Y values:,2.21504,0.019471, Max Z values:,0.167796,-0.177806,,,1.024301
Average X value:,-0.044198, Average Y value:,0.702673, Average Z value:,0.279747, Max X values:,0.161936,-0.191113, Max Y values:,2.006653,-0.006775, Max Z values:,0.161936,-0.191113,,,1.020605
Average X value:,-0.061118, Average Y value:,0.602936, Average Z value:,0.272832, Max X values:,0.156076,-0.191113, Max Y values:,1.793383,-0.006775, Max Z values:,0.156076,-0.191113,,,1.016408
Average X value:,-0.077086, Average Y value:,0.515547, Average Z value:,0.260667, Max X values:,0.151071,-0.191113, Max Y values:,1.631264,-0.006775, Max Z values:,0.151071,-0.191113,,,1.012219
Average X value:,-0.092724, Average Y value:,0.438296, Average Z value:,0.247214, Max X values:,0.151071,-0.191113, Max Y values:,1.416285,-0.006775, Max Z values:,0.151071,-0.191113,,,1.008478
