You entered a buffer length of 100,x_100,,y_100_sideways,,z_100_sideways,,,,,,,,,
Average X value:,-0.01004, Average Y value:,0.982428, Average Z value:,0.23979, Max X values:,0.509614,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.595312
Average X value:,-0.013432, Average Y value:,0.983024, Average Z value:,0.24062, Max X values:,0.509614,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.595312
Average X value:,-0.016462, Average Y value:,0.982412, Average Z value:,0.240333, Max X values:,0.509614,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.595312
Average X value:,-0.019233, Average Y value:,0.98211, Average Z value:,0.239653, Max X values:,0.509614,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.595312
Average X value:,-0.021919, Average Y value:,0.981882, Average Z value:,0.239479, Max X values:,0.509614,-0.603613, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.603613
Average X value:,-0.024251, Average Y value:,0.981754, Average Z value:,0.239238, Max X values:,0.509614,-0.603858, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.603858
Average X value:,-0.023983, Average Y value:,0.98192, Average Z value:,0.239659, Max X values:,0.509614,-0.603858, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.603858
Average X value:,-0.02349, Average Y value:,0.982083, Average Z value:,0.240389, Max X values:,0.509614,-0.603858, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.603858
Average X value:,-0.022391, Average Y value:,0.981613, Average Z value:,0.240272, Max X values:,0.509614,-0.603858, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.603858
Average X value:,-0.020712, Average Y value:,0.981317, Average Z value:,0.240034, Max X values:,0.509614,-0.603858, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.603858
Average X value:,-0.020034, Average Y value:,0.982171, Average Z value:,0.239618, Max X values:,0.509614,-0.603858, Max Y values:,1.059452,0.932735, Max Z values:,0.509614,-0.603858
Average X value:,-0.018429, Average Y value:,0.982813, Average Z value:,0.239222, Max X values:,0.509614,-0.603858, Max Y values:,1.059452,0.932735, Max Z values:,0.509614,-0.603858
Average X value:,-0.01624, Average Y value:,0.982592, Average Z value:,0.238619, Max X values:,0.509614,-0.603858, Max Y values:,1.059452,0.932735, Max Z values:,0.509614,-0.603858
Average X value:,-0.014095, Average Y value:,0.981901, Average Z value:,0.237621, Max X values:,0.509614,-0.603858, Max Y values:,1.059452,0.899164, Max Z values:,0.509614,-0.603858
Average X value:,-0.01241, Average Y value:,0.982351, Average Z value:,0.237136, Max X values:,0.509614,-0.603858, Max Y values:,1.059696,0.899164, Max Z values:,0.509614,-0.603858
Average X value:,-0.011075, Average Y value:,0.981787, Average Z value:,0.236703, Max X values:,0.509614,-0.603858, Max Y values:,1.059696,0.899164, Max Z values:,0.509614,-0.603858
Average X value:,-0.010023, Average Y value:,0.981765, Average Z value:,0.2372, Max X values:,0.509614,-0.603858, Max Y values:,1.059696,0.899164, Max Z values:,0.509614,-0.603858
Average X value:,-0.008904, Average Y value:,0.980817, Average Z value:,0.237764, Max X values:,0.509614,-0.603858, Max Y values:,1.059696,0.899164, Max Z values:,0.509614,-0.603858
Average X value:,-0.007019, Average Y value:,0.980529, Average Z value:,0.23814, Max X values:,0.509614,-0.603858, Max Y values:,1.059696,0.899164, Max Z values:,0.509614,-0.603858
Average X value:,-0.005569, Average Y value:,0.980894, Average Z value:,0.238564, Max X values:,0.509614,-0.603858, Max Y values:,1.059696,0.899164, Max Z values:,0.509614,-0.603858
Average X value:,-0.004627, Average Y value:,0.97925, Average Z value:,0.238977, Max X values:,0.509614,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.509614,-0.603858
Average X value:,-0.002816, Average Y value:,0.978583, Average Z value:,0.239059, Max X values:,0.509614,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.509614,-0.603858
Average X value:,-0.000945, Average Y value:,0.977683, Average Z value:,0.238735, Max X values:,0.509614,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.509614,-0.603858
Average X value:,0.001784, Average Y value:,0.977262, Average Z value:,0.238452, Max X values:,0.509614,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.509614,-0.603858
Average X value:,0.004995, Average Y value:,0.976457, Average Z value:,0.237782, Max X values:,0.509614,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.509614,-0.603858
Average X value:,0.008078, Average Y value:,0.976809, Average Z value:,0.237795, Max X values:,0.509614,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.509614,-0.603858
Average X value:,0.010952, Average Y value:,0.976629, Average Z value:,0.237705, Max X values:,0.509614,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.509614,-0.603858
Average X value:,0.013042, Average Y value:,0.976513, Average Z value:,0.237771, Max X values:,0.509614,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.509614,-0.603858
Average X value:,0.014836, Average Y value:,0.977193, Average Z value:,0.237982, Max X values:,0.535616,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.603858
Average X value:,0.015454, Average Y value:,0.977318, Average Z value:,0.238198, Max X values:,0.535616,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.603858
Average X value:,0.013347, Average Y value:,0.977182, Average Z value:,0.238519, Max X values:,0.535616,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.603858
Average X value:,0.012199, Average Y value:,0.977007, Average Z value:,0.238807, Max X values:,0.535616,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.603858
Average X value:,0.011436, Average Y value:,0.976968, Average Z value:,0.239178, Max X values:,0.535616,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.603858
Average X value:,0.010626, Average Y value:,0.976864, Average Z value:,0.239546, Max X values:,0.535616,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.603858
Average X value:,0.012618, Average Y value:,0.976678, Average Z value:,0.239211, Max X values:,0.535616,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.603858
Average X value:,0.013067, Average Y value:,0.976782, Average Z value:,0.238762, Max X values:,0.535616,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.603858
Average X value:,0.01295, Average Y value:,0.976041, Average Z value:,0.238011, Max X values:,0.535616,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.603858
Average X value:,0.012033, Average Y value:,0.976009, Average Z value:,0.237828, Max X values:,0.535616,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.603858
Average X value:,0.0105, Average Y value:,0.975542, Average Z value:,0.237829, Max X values:,0.535616,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.603858
Average X value:,0.008506, Average Y value:,0.976053, Average Z value:,0.238279, Max X values:,0.535616,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.603858
Average X value:,0.006663, Average Y value:,0.975633, Average Z value:,0.238078, Max X values:,0.535616,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.603858
Average X value:,0.004942, Average Y value:,0.975537, Average Z value:,0.2375, Max X values:,0.535616,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.603858
Average X value:,0.003473, Average Y value:,0.975985, Average Z value:,0.237274, Max X values:,0.535616,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.603858
Average X value:,0.002202, Average Y value:,0.975755, Average Z value:,0.237474, Max X values:,0.535616,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.603858
Average X value:,0.000236, Average Y value:,0.975007, Average Z value:,0.237925, Max X values:,0.535616,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.603858
Average X value:,-0.001804, Average Y value:,0.974516, Average Z value:,0.237983, Max X values:,0.535616,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.603858
Average X value:,-0.004138, Average Y value:,0.974212, Average Z value:,0.237807, Max X values:,0.535616,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.603858
Average X value:,-0.007226, Average Y value:,0.974066, Average Z value:,0.238214, Max X values:,0.535616,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.603858
Average X value:,-0.01119, Average Y value:,0.97336, Average Z value:,0.239785, Max X values:,0.535616,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.603858
Average X value:,-0.015342, Average Y value:,0.973216, Average Z value:,0.241403, Max X values:,0.535616,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.603858
Average X value:,-0.019037, Average Y value:,0.972891, Average Z value:,0.242505, Max X values:,0.535616,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.603858
Average X value:,-0.022462, Average Y value:,0.972625, Average Z value:,0.243518, Max X values:,0.535616,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.603858
Average X value:,-0.026097, Average Y value:,0.97222, Average Z value:,0.24469, Max X values:,0.535616,-0.603858, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.603858
Average X value:,-0.029683, Average Y value:,0.972341, Average Z value:,0.245395, Max X values:,0.535616,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.626442
Average X value:,-0.031165, Average Y value:,0.972197, Average Z value:,0.245163, Max X values:,0.535616,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.626442
Average X value:,-0.031447, Average Y value:,0.972452, Average Z value:,0.243621, Max X values:,0.535616,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.626442
Average X value:,-0.03126, Average Y value:,0.972583, Average Z value:,0.241829, Max X values:,0.535616,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.626442
Average X value:,-0.030554, Average Y value:,0.973161, Average Z value:,0.240538, Max X values:,0.535616,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.626442
Average X value:,-0.028812, Average Y value:,0.973265, Average Z value:,0.240167, Max X values:,0.535616,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.626442
Average X value:,-0.027809, Average Y value:,0.972796, Average Z value:,0.240021, Max X values:,0.535616,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.626442
Average X value:,-0.025264, Average Y value:,0.972456, Average Z value:,0.23929, Max X values:,0.535616,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.626442
Average X value:,-0.021625, Average Y value:,0.972233, Average Z value:,0.238231, Max X values:,0.535616,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.626442
Average X value:,-0.017557, Average Y value:,0.972104, Average Z value:,0.23704, Max X values:,0.535616,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.626442
Average X value:,-0.013798, Average Y value:,0.971776, Average Z value:,0.236177, Max X values:,0.535616,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.626442
Average X value:,-0.010755, Average Y value:,0.971734, Average Z value:,0.236021, Max X values:,0.535616,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.626442
Average X value:,-0.008073, Average Y value:,0.970982, Average Z value:,0.236411, Max X values:,0.535616,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.626442
Average X value:,-0.005534, Average Y value:,0.970838, Average Z value:,0.236723, Max X values:,0.535616,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.626442
Average X value:,-0.003147, Average Y value:,0.97096, Average Z value:,0.237174, Max X values:,0.535616,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.626442
Average X value:,-0.000493, Average Y value:,0.970926, Average Z value:,0.23741, Max X values:,0.535616,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.626442
Average X value:,0.00197, Average Y value:,0.970054, Average Z value:,0.237538, Max X values:,0.535616,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.626442
Average X value:,0.004136, Average Y value:,0.96978, Average Z value:,0.237881, Max X values:,0.535616,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.626442
Average X value:,0.006424, Average Y value:,0.970475, Average Z value:,0.237439, Max X values:,0.535616,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.626442
Average X value:,0.008688, Average Y value:,0.970911, Average Z value:,0.236897, Max X values:,0.535616,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.626442
Average X value:,0.010681, Average Y value:,0.970853, Average Z value:,0.236682, Max X values:,0.535616,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.626442
Average X value:,0.012562, Average Y value:,0.970568, Average Z value:,0.236681, Max X values:,0.535616,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.626442
Average X value:,0.014287, Average Y value:,0.969996, Average Z value:,0.237096, Max X values:,0.535616,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.535616,-0.626442
Average X value:,0.015708, Average Y value:,0.969878, Average Z value:,0.237412, Max X values:,0.544406,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.544406,-0.626442
Average X value:,0.013719, Average Y value:,0.970294, Average Z value:,0.237652, Max X values:,0.544406,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.544406,-0.626442
Average X value:,0.012695, Average Y value:,0.970085, Average Z value:,0.238098, Max X values:,0.544406,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.544406,-0.626442
Average X value:,0.011606, Average Y value:,0.969802, Average Z value:,0.238325, Max X values:,0.544406,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.544406,-0.626442
Average X value:,0.010967, Average Y value:,0.96965, Average Z value:,0.238549, Max X values:,0.544406,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.544406,-0.626442
Average X value:,0.01233, Average Y value:,0.969687, Average Z value:,0.238562, Max X values:,0.544406,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.544406,-0.626442
Average X value:,0.012384, Average Y value:,0.969874, Average Z value:,0.238652, Max X values:,0.544406,-0.626442, Max Y values:,1.059696,0.895135, Max Z values:,0.544406,-0.626442
Average X value:,0.01175, Average Y value:,0.970589, Average Z value:,0.238376, Max X values:,0.544406,-0.626442, Max Y values:,1.060917,0.895135, Max Z values:,0.544406,-0.626442
Average X value:,0.010501, Average Y value:,0.97008, Average Z value:,0.237516, Max X values:,0.544406,-0.626442, Max Y values:,1.060917,0.895135, Max Z values:,0.544406,-0.626442
Average X value:,0.00882, Average Y value:,0.970694, Average Z value:,0.237297, Max X values:,0.544406,-0.626442, Max Y values:,1.060917,0.895135, Max Z values:,0.544406,-0.626442
Average X value:,0.00712, Average Y value:,0.970231, Average Z value:,0.237633, Max X values:,0.544406,-0.626442, Max Y values:,1.060917,0.895135, Max Z values:,0.544406,-0.626442
Average X value:,0.00579, Average Y value:,0.96972, Average Z value:,0.238011, Max X values:,0.544406,-0.626442, Max Y values:,1.060917,0.895135, Max Z values:,0.544406,-0.626442
Average X value:,0.004395, Average Y value:,0.968976, Average Z value:,0.238704, Max X values:,0.544406,-0.626442, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.626442
Average X value:,0.002886, Average Y value:,0.969888, Average Z value:,0.239222, Max X values:,0.544406,-0.626442, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.626442
Average X value:,0.001715, Average Y value:,0.970012, Average Z value:,0.239156, Max X values:,0.544406,-0.626442, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.626442
Average X value:,0.000101, Average Y value:,0.969806, Average Z value:,0.238718, Max X values:,0.544406,-0.626442, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.626442
Average X value:,-0.001685, Average Y value:,0.968737, Average Z value:,0.237966, Max X values:,0.544406,-0.626442, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.626442
Average X value:,-0.00406, Average Y value:,0.969068, Average Z value:,0.238089, Max X values:,0.544406,-0.626442, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.626442
Average X value:,-0.006999, Average Y value:,0.968649, Average Z value:,0.238365, Max X values:,0.544406,-0.626442, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.626442
Average X value:,-0.010123, Average Y value:,0.968381, Average Z value:,0.238695, Max X values:,0.544406,-0.626442, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.626442
Average X value:,-0.013132, Average Y value:,0.968268, Average Z value:,0.238761, Max X values:,0.544406,-0.626442, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.626442
Average X value:,-0.016315, Average Y value:,0.96793, Average Z value:,0.23974, Max X values:,0.544406,-0.626442, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.626442
Average X value:,-0.019458, Average Y value:,0.968042, Average Z value:,0.24115, Max X values:,0.544406,-0.626442, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.626442
Average X value:,-0.022435, Average Y value:,0.96771, Average Z value:,0.2422, Max X values:,0.544406,-0.626442, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.626442
Average X value:,-0.025233, Average Y value:,0.967685, Average Z value:,0.242073, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.026242, Average Y value:,0.96746, Average Z value:,0.240553, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.025247, Average Y value:,0.967415, Average Z value:,0.240267, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.024256, Average Y value:,0.9673, Average Z value:,0.240542, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.022451, Average Y value:,0.967576, Average Z value:,0.240576, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.020295, Average Y value:,0.967837, Average Z value:,0.240283, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.019482, Average Y value:,0.968217, Average Z value:,0.239498, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.01761, Average Y value:,0.968376, Average Z value:,0.238474, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.01558, Average Y value:,0.968642, Average Z value:,0.237833, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.01311, Average Y value:,0.969047, Average Z value:,0.237062, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.010325, Average Y value:,0.969249, Average Z value:,0.236681, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.007939, Average Y value:,0.969616, Average Z value:,0.236778, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.006075, Average Y value:,0.970217, Average Z value:,0.236545, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.003839, Average Y value:,0.971522, Average Z value:,0.236896, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.002023, Average Y value:,0.970814, Average Z value:,0.236936, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.000394, Average Y value:,0.971081, Average Z value:,0.237297, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,0.001218, Average Y value:,0.971679, Average Z value:,0.236722, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,0.002615, Average Y value:,0.972158, Average Z value:,0.235644, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,0.0036, Average Y value:,0.972879, Average Z value:,0.235083, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,0.00526, Average Y value:,0.972575, Average Z value:,0.234309, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,0.007371, Average Y value:,0.973712, Average Z value:,0.234117, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,0.009015, Average Y value:,0.973601, Average Z value:,0.234102, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,0.009991, Average Y value:,0.97487, Average Z value:,0.23472, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,0.009511, Average Y value:,0.974845, Average Z value:,0.234915, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,0.009402, Average Y value:,0.975457, Average Z value:,0.233676, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,0.007267, Average Y value:,0.975129, Average Z value:,0.23285, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,0.004489, Average Y value:,0.975698, Average Z value:,0.232235, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,0.001255, Average Y value:,0.975942, Average Z value:,0.231961, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.002378, Average Y value:,0.975753, Average Z value:,0.232227, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.005752, Average Y value:,0.97554, Average Z value:,0.232509, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.006983, Average Y value:,0.975511, Average Z value:,0.232789, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.009601, Average Y value:,0.975438, Average Z value:,0.233003, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.013436, Average Y value:,0.975362, Average Z value:,0.233471, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.01704, Average Y value:,0.975235, Average Z value:,0.23387, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.020935, Average Y value:,0.975298, Average Z value:,0.234724, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.024667, Average Y value:,0.975194, Average Z value:,0.234856, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.027988, Average Y value:,0.975926, Average Z value:,0.235374, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.030718, Average Y value:,0.975892, Average Z value:,0.235548, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.03279, Average Y value:,0.976206, Average Z value:,0.235451, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.034135, Average Y value:,0.97599, Average Z value:,0.235036, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.035393, Average Y value:,0.976433, Average Z value:,0.235147, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.036461, Average Y value:,0.976584, Average Z value:,0.235506, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.037068, Average Y value:,0.976426, Average Z value:,0.23568, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.037264, Average Y value:,0.976872, Average Z value:,0.235492, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.036716, Average Y value:,0.977691, Average Z value:,0.235124, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.035765, Average Y value:,0.978049, Average Z value:,0.235077, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.034084, Average Y value:,0.978037, Average Z value:,0.235129, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.031577, Average Y value:,0.97798, Average Z value:,0.234591, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.027944, Average Y value:,0.978479, Average Z value:,0.233328, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.02357, Average Y value:,0.978955, Average Z value:,0.232036, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.019048, Average Y value:,0.979272, Average Z value:,0.231375, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.0142, Average Y value:,0.979504, Average Z value:,0.230606, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.008515, Average Y value:,0.979768, Average Z value:,0.229114, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,-0.00228, Average Y value:,0.980037, Average Z value:,0.227626, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,0.002708, Average Y value:,0.980345, Average Z value:,0.226499, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
Average X value:,0.007559, Average Y value:,0.980574, Average Z value:,0.226194, Max X values:,0.544406,-0.633156, Max Y values:,1.060917,0.888665, Max Z values:,0.544406,-0.633156
