You entered a buffer length of 100,x_100,,y_100_sideways,,z_100_sideways,,,,,,,,,
Average X value:,-0.029481, Average Y value:,0.98361, Average Z value:,0.234415, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.920527, Max Z values:,0.700787,-0.801257
Average X value:,-0.017731, Average Y value:,0.983843, Average Z value:,0.233198, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.920527, Max Z values:,0.700787,-0.801257
Average X value:,-0.007071, Average Y value:,0.984036, Average Z value:,0.232916, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.920527, Max Z values:,0.700787,-0.801257
Average X value:,0.004177, Average Y value:,0.98425, Average Z value:,0.232648, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.920527, Max Z values:,0.700787,-0.801257
Average X value:,0.014704, Average Y value:,0.984564, Average Z value:,0.232292, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.920527, Max Z values:,0.700787,-0.801257
Average X value:,0.021158, Average Y value:,0.984829, Average Z value:,0.232395, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.920527, Max Z values:,0.700787,-0.801257
Average X value:,0.028732, Average Y value:,0.98503, Average Z value:,0.232513, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.920527, Max Z values:,0.700787,-0.801257
Average X value:,0.036495, Average Y value:,0.984287, Average Z value:,0.232436, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.920527, Max Z values:,0.700787,-0.801257
Average X value:,0.044121, Average Y value:,0.984208, Average Z value:,0.232609, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.920527, Max Z values:,0.700787,-0.801257
Average X value:,0.050777, Average Y value:,0.98392, Average Z value:,0.233303, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.920527, Max Z values:,0.700787,-0.801257
Average X value:,0.056611, Average Y value:,0.983725, Average Z value:,0.234008, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.920527, Max Z values:,0.700787,-0.801257
Average X value:,0.060981, Average Y value:,0.983579, Average Z value:,0.233966, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.920527, Max Z values:,0.700787,-0.801257
Average X value:,0.06404, Average Y value:,0.983689, Average Z value:,0.234151, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.920527, Max Z values:,0.700787,-0.801257
Average X value:,0.065611, Average Y value:,0.984805, Average Z value:,0.234327, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.920527, Max Z values:,0.700787,-0.801257
Average X value:,0.065633, Average Y value:,0.986564, Average Z value:,0.234719, Max X values:,0.700787,-0.801257, Max Y values:,1.117927,0.920527, Max Z values:,0.700787,-0.801257
Average X value:,0.063264, Average Y value:,0.986673, Average Z value:,0.235035, Max X values:,0.700787,-0.801257, Max Y values:,1.117927,0.920527, Max Z values:,0.700787,-0.801257
Average X value:,0.058921, Average Y value:,0.98643, Average Z value:,0.235378, Max X values:,0.700787,-0.801257, Max Y values:,1.117927,0.920527, Max Z values:,0.700787,-0.801257
Average X value:,0.053144, Average Y value:,0.985878, Average Z value:,0.235392, Max X values:,0.700787,-0.801257, Max Y values:,1.117927,0.920527, Max Z values:,0.700787,-0.801257
Average X value:,0.045771, Average Y value:,0.985414, Average Z value:,0.235663, Max X values:,0.661234,-0.801257, Max Y values:,1.117927,0.920527, Max Z values:,0.661234,-0.801257
Average X value:,0.03779, Average Y value:,0.985581, Average Z value:,0.236666, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.920527, Max Z values:,0.585302,-0.801257
Average X value:,0.029793, Average Y value:,0.985558, Average Z value:,0.238769, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.920527, Max Z values:,0.585302,-0.801257
Average X value:,0.02155, Average Y value:,0.984843, Average Z value:,0.239965, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.920527, Max Z values:,0.585302,-0.801257
Average X value:,0.012708, Average Y value:,0.984762, Average Z value:,0.241596, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.920527, Max Z values:,0.585302,-0.801257
Average X value:,0.003455, Average Y value:,0.984406, Average Z value:,0.243445, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.920527, Max Z values:,0.585302,-0.801257
Average X value:,-0.006396, Average Y value:,0.984384, Average Z value:,0.245096, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.920527, Max Z values:,0.585302,-0.801257
Average X value:,-0.016597, Average Y value:,0.983394, Average Z value:,0.246095, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.920527, Max Z values:,0.585302,-0.801257
Average X value:,-0.026716, Average Y value:,0.983264, Average Z value:,0.247167, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.920527, Max Z values:,0.585302,-0.801257
Average X value:,-0.034137, Average Y value:,0.983733, Average Z value:,0.24762, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.920527, Max Z values:,0.585302,-0.801257
Average X value:,-0.042432, Average Y value:,0.983883, Average Z value:,0.248534, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.920527, Max Z values:,0.585302,-0.801257
Average X value:,-0.050799, Average Y value:,0.982719, Average Z value:,0.249677, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.920527, Max Z values:,0.585302,-0.801257
Average X value:,-0.058038, Average Y value:,0.981693, Average Z value:,0.250544, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.919429, Max Z values:,0.585302,-0.801257
Average X value:,-0.063543, Average Y value:,0.980322, Average Z value:,0.250677, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.919429, Max Z values:,0.585302,-0.801257
