You entered a buffer length of 20,x,,y_20_static,,z_20_static,,,,,,,,,
Average X value:,-0.001019, Average Y value:,0.9851, Average Z value:,0.215278, Max X values:,0.000916,-0.002869, Max Y values:,0.986327,0.982787, Max Z values:,0.000916,-0.002869
Average X value:,-0.000903, Average Y value:,0.9851, Average Z value:,0.215296, Max X values:,0.000916,-0.002869, Max Y values:,0.986327,0.982787, Max Z values:,0.000916,-0.002869
Average X value:,-0.0008, Average Y value:,0.985253, Average Z value:,0.215229, Max X values:,0.000916,-0.002869, Max Y values:,0.986327,0.983397, Max Z values:,0.000916,-0.002869
Average X value:,-0.000702, Average Y value:,0.985216, Average Z value:,0.215321, Max X values:,0.001404,-0.002869, Max Y values:,0.986327,0.983397, Max Z values:,0.001404,-0.002869
Average X value:,-0.000763, Average Y value:,0.985137, Average Z value:,0.215315, Max X values:,0.001404,-0.002869, Max Y values:,0.986327,0.983397, Max Z values:,0.001404,-0.002869
Average X value:,-0.000775, Average Y value:,0.985167, Average Z value:,0.215193, Max X values:,0.001404,-0.002869, Max Y values:,0.986327,0.983397, Max Z values:,0.001404,-0.002869
Average X value:,-0.000781, Average Y value:,0.985204, Average Z value:,0.215266, Max X values:,0.001404,-0.002869, Max Y values:,0.986327,0.983397, Max Z values:,0.001404,-0.002869
Average X value:,-0.000873, Average Y value:,0.9851, Average Z value:,0.215138, Max X values:,0.001404,-0.002869, Max Y values:,0.986327,0.983397, Max Z values:,0.001404,-0.002869
Average X value:,-0.000897, Average Y value:,0.985204, Average Z value:,0.215156, Max X values:,0.001404,-0.002869, Max Y values:,0.986327,0.98413, Max Z values:,0.001404,-0.002869
Average X value:,-0.000812, Average Y value:,0.985174, Average Z value:,0.215162, Max X values:,0.001404,-0.002869, Max Y values:,0.986327,0.98413, Max Z values:,0.001404,-0.002869
Average X value:,-0.000647, Average Y value:,0.985265, Average Z value:,0.215168, Max X values:,0.001404,-0.002625, Max Y values:,0.98767,0.98413, Max Z values:,0.001404,-0.002625
Average X value:,-0.000733, Average Y value:,0.985265, Average Z value:,0.215193, Max X values:,0.001404,-0.002625, Max Y values:,0.98767,0.98413, Max Z values:,0.001404,-0.002625
Average X value:,-0.00061, Average Y value:,0.985192, Average Z value:,0.215284, Max X values:,0.001404,-0.002625, Max Y values:,0.98767,0.983642, Max Z values:,0.001404,-0.002625
Average X value:,-0.000562, Average Y value:,0.985143, Average Z value:,0.215302, Max X values:,0.001404,-0.002625, Max Y values:,0.98767,0.983642, Max Z values:,0.001404,-0.002625
Average X value:,-0.000641, Average Y value:,0.98521, Average Z value:,0.215351, Max X values:,0.001404,-0.002625, Max Y values:,0.98767,0.983642, Max Z values:,0.001404,-0.002625
Average X value:,-0.000494, Average Y value:,0.98518, Average Z value:,0.215302, Max X values:,0.001404,-0.002625, Max Y values:,0.98767,0.983642, Max Z values:,0.001404,-0.002625
Average X value:,-0.00044, Average Y value:,0.985253, Average Z value:,0.215424, Max X values:,0.001404,-0.002014, Max Y values:,0.98767,0.983642, Max Z values:,0.001404,-0.002014
Average X value:,-0.00058, Average Y value:,0.985235, Average Z value:,0.215388, Max X values:,0.001404,-0.002136, Max Y values:,0.98767,0.983642, Max Z values:,0.001404,-0.002136
Average X value:,-0.000635, Average Y value:,0.985149, Average Z value:,0.215357, Max X values:,0.001404,-0.002136, Max Y values:,0.98767,0.983642, Max Z values:,0.001404,-0.002136
Average X value:,-0.00061, Average Y value:,0.985107, Average Z value:,0.215363, Max X values:,0.001404,-0.002136, Max Y values:,0.98767,0.983642, Max Z values:,0.001404,-0.002136
Average X value:,-0.000574, Average Y value:,0.98496, Average Z value:,0.215388, Max X values:,0.001404,-0.002136, Max Y values:,0.98767,0.983275, Max Z values:,0.001404,-0.002136
Average X value:,-0.000732, Average Y value:,0.984942, Average Z value:,0.215345, Max X values:,0.001404,-0.002503, Max Y values:,0.98767,0.983275, Max Z values:,0.001404,-0.002503
Average X value:,-0.000806, Average Y value:,0.984826, Average Z value:,0.215235, Max X values:,0.001404,-0.002503, Max Y values:,0.98767,0.983275, Max Z values:,0.001404,-0.002503
Average X value:,-0.000952, Average Y value:,0.984832, Average Z value:,0.215241, Max X values:,0.000549,-0.002503, Max Y values:,0.98767,0.983275, Max Z values:,0.000549,-0.002503
Average X value:,-0.000995, Average Y value:,0.984856, Average Z value:,0.215321, Max X values:,0.000549,-0.002503, Max Y values:,0.98767,0.983275, Max Z values:,0.000549,-0.002503
Average X value:,-0.000989, Average Y value:,0.98485, Average Z value:,0.215376, Max X values:,0.000549,-0.002503, Max Y values:,0.98767,0.983275, Max Z values:,0.000549,-0.002503
Average X value:,-0.001068, Average Y value:,0.984856, Average Z value:,0.215382, Max X values:,0.000549,-0.002747, Max Y values:,0.98767,0.983275, Max Z values:,0.000549,-0.002747
Average X value:,-0.001019, Average Y value:,0.984917, Average Z value:,0.215467, Max X values:,0.000549,-0.002747, Max Y values:,0.98767,0.983275, Max Z values:,0.000549,-0.002747
Average X value:,-0.001062, Average Y value:,0.984887, Average Z value:,0.215498, Max X values:,0.000549,-0.002747, Max Y values:,0.98767,0.983275, Max Z values:,0.000549,-0.002747
Average X value:,-0.001135, Average Y value:,0.984917, Average Z value:,0.215492, Max X values:,0.000549,-0.002747, Max Y values:,0.98767,0.983275, Max Z values:,0.000549,-0.002747
Average X value:,-0.001233, Average Y value:,0.984795, Average Z value:,0.215522, Max X values:,0.000549,-0.002747, Max Y values:,0.98706,0.983275, Max Z values:,0.000549,-0.002747
Average X value:,-0.001233, Average Y value:,0.984789, Average Z value:,0.215528, Max X values:,0.000549,-0.002747, Max Y values:,0.98706,0.983275, Max Z values:,0.000549,-0.002747
Average X value:,-0.001282, Average Y value:,0.98485, Average Z value:,0.215492, Max X values:,0.000549,-0.002747, Max Y values:,0.98706,0.983275, Max Z values:,0.000549,-0.002747
