You entered a buffer length of 20,x_20,,y_20_sideways,,z_20_sideways,,,,,,,,,,,x_100
Average X value:,0.38062, Average Y value:,0.98485, Average Z value:,0.250681, Max X values:,0.822255,-0.165721, Max Y values:,1.030886,0.87719, Max Z values:,0.822255,-0.165721,,-0.069379
Average X value:,0.382012, Average Y value:,0.980364, Average Z value:,0.265989, Max X values:,0.822255,-0.137887, Max Y values:,1.030886,0.87719, Max Z values:,0.822255,-0.137887,,-0.068325
Average X value:,0.376097, Average Y value:,0.977123, Average Z value:,0.27487, Max X values:,0.822255,-0.159983, Max Y values:,1.030886,0.87719, Max Z values:,0.822255,-0.159983,,-0.066016
Average X value:,0.366325, Average Y value:,0.978575, Average Z value:,0.269407, Max X values:,0.822255,-0.159983, Max Y values:,1.030886,0.87719, Max Z values:,0.822255,-0.159983,,-0.062569
Average X value:,0.349594, Average Y value:,0.979338, Average Z value:,0.258664, Max X values:,0.822255,-0.166331, Max Y values:,1.030886,0.87719, Max Z values:,0.822255,-0.166331,,-0.0566
Average X value:,0.32057, Average Y value:,0.978655, Average Z value:,0.246591, Max X values:,0.822255,-0.295123, Max Y values:,1.030886,0.87719, Max Z values:,0.822255,-0.295123,,-0.048908
Average X value:,0.276952, Average Y value:,0.978191, Average Z value:,0.238656, Max X values:,0.822255,-0.435146, Max Y values:,1.030886,0.87719, Max Z values:,0.822255,-0.435146,,-0.039841
Average X value:,0.220967, Average Y value:,0.978679, Average Z value:,0.230648, Max X values:,0.822255,-0.530855, Max Y values:,1.030886,0.87719, Max Z values:,0.822255,-0.530855,,-0.029481
Average X value:,0.155204, Average Y value:,0.979985, Average Z value:,0.223543, Max X values:,0.822255,-0.625465, Max Y values:,1.030886,0.87719, Max Z values:,0.822255,-0.625465,,-0.017731
Average X value:,0.081499, Average Y value:,0.980028, Average Z value:,0.217036, Max X values:,0.822255,-0.702252, Max Y values:,1.030886,0.87719, Max Z values:,0.822255,-0.702252,,-0.007071
Average X value:,0.006311, Average Y value:,0.981127, Average Z value:,0.209119, Max X values:,0.760605,-0.702252, Max Y values:,1.030886,0.87719, Max Z values:,0.760605,-0.702252,,0.004177
Average X value:,-0.063584, Average Y value:,0.981224, Average Z value:,0.210694, Max X values:,0.662821,-0.702252, Max Y values:,1.030886,0.87719, Max Z values:,0.662821,-0.702252,,0.014704
Average X value:,-0.129891, Average Y value:,0.9804, Average Z value:,0.207087, Max X values:,0.614234,-0.702252, Max Y values:,1.030886,0.87719, Max Z values:,0.614234,-0.702252,,0.021158
Average X value:,-0.193548, Average Y value:,0.977953, Average Z value:,0.206128, Max X values:,0.524873,-0.702252, Max Y values:,1.030886,0.87719, Max Z values:,0.524873,-0.702252,,0.028732
Average X value:,-0.251389, Average Y value:,0.973289, Average Z value:,0.209986, Max X values:,0.45065,-0.702252, Max Y values:,1.030886,0.87719, Max Z values:,0.45065,-0.702252,,0.036495
Average X value:,-0.301392, Average Y value:,0.971757, Average Z value:,0.213905, Max X values:,0.35372,-0.702252, Max Y values:,1.019166,0.87719, Max Z values:,0.35372,-0.702252,,0.044121
Average X value:,-0.34114, Average Y value:,0.971843, Average Z value:,0.211365, Max X values:,0.305622,-0.702252, Max Y values:,1.020875,0.87719, Max Z values:,0.305622,-0.702252,,0.050777
Average X value:,-0.371342, Average Y value:,0.972746, Average Z value:,0.207068, Max X values:,0.224318,-0.702252, Max Y values:,1.020875,0.87719, Max Z values:,0.224318,-0.702252,,0.056611
Average X value:,-0.391552, Average Y value:,0.975218, Average Z value:,0.199689, Max X values:,0.110908,-0.702252, Max Y values:,1.020875,0.87719, Max Z values:,0.110908,-0.702252,,0.060981
Average X value:,-0.399933, Average Y value:,0.978136, Average Z value:,0.191986, Max X values:,-0.024599,-0.702252, Max Y values:,1.020875,0.87719, Max Z values:,-0.024599,-0.702252,,0.06404
Average X value:,-0.396203, Average Y value:,0.981243, Average Z value:,0.183495, Max X values:,0.049991,-0.702252, Max Y values:,1.020875,0.904535, Max Z values:,0.049991,-0.702252,,0.065611
Average X value:,-0.381145, Average Y value:,0.983251, Average Z value:,0.174992, Max X values:,0.163279,-0.702252, Max Y values:,1.020875,0.904535, Max Z values:,0.163279,-0.702252,,0.065633
Average X value:,-0.357511, Average Y value:,0.985064, Average Z value:,0.174187, Max X values:,0.312702,-0.702252, Max Y values:,1.020875,0.933468, Max Z values:,0.312702,-0.702252,,0.063264
Average X value:,-0.332052, Average Y value:,0.983947, Average Z value:,0.181542, Max X values:,0.386803,-0.702252, Max Y values:,1.020875,0.933468, Max Z values:,0.386803,-0.702252,,0.058921
Average X value:,-0.298907, Average Y value:,0.982421, Average Z value:,0.191839, Max X values:,0.496551,-0.702252, Max Y values:,1.020875,0.933468, Max Z values:,0.496551,-0.702252,,0.053144
Average X value:,-0.253623, Average Y value:,0.981963, Average Z value:,0.200116, Max X values:,0.610572,-0.702252, Max Y values:,1.020875,0.933468, Max Z values:,0.610572,-0.702252,,0.045771
Average X value:,-0.196734, Average Y value:,0.984508, Average Z value:,0.20528, Max X values:,0.702619,-0.702252, Max Y values:,1.026003,0.933468, Max Z values:,0.702619,-0.702252,,0.03779
Average X value:,-0.13246, Average Y value:,0.985253, Average Z value:,0.211127, Max X values:,0.754624,-0.702252, Max Y values:,1.026003,0.933468, Max Z values:,0.754624,-0.702252,,0.029793
Average X value:,-0.065501, Average Y value:,0.985845, Average Z value:,0.214515, Max X values:,0.754624,-0.702252, Max Y values:,1.026003,0.933468, Max Z values:,0.754624,-0.702252,,0.02155
Average X value:,-0.002301, Average Y value:,0.984685, Average Z value:,0.219008, Max X values:,0.754624,-0.681499, Max Y values:,1.026003,0.933468, Max Z values:,0.754624,-0.681499,,0.012708
Average X value:,0.062015, Average Y value:,0.984862, Average Z value:,0.227559, Max X values:,0.754624,-0.66331, Max Y values:,1.026003,0.933468, Max Z values:,0.754624,-0.66331,,0.003455
Average X value:,0.12234, Average Y value:,0.983764, Average Z value:,0.229225, Max X values:,0.754624,-0.66331, Max Y values:,1.026003,0.933468, Max Z values:,0.754624,-0.66331,,-0.006396
Average X value:,0.180425, Average Y value:,0.985607, Average Z value:,0.231008, Max X values:,0.754624,-0.658915, Max Y values:,1.026003,0.933468, Max Z values:,0.754624,-0.658915,,-0.016597
Average X value:,0.237344, Average Y value:,0.986004, Average Z value:,0.230629, Max X values:,0.754624,-0.631936, Max Y values:,1.026003,0.933468, Max Z values:,0.754624,-0.631936,,-0.026716
Average X value:,0.291229, Average Y value:,0.988366, Average Z value:,0.228127, Max X values:,0.754624,-0.549411, Max Y values:,1.026003,0.939327, Max Z values:,0.754624,-0.549411,,-0.034137
Average X value:,0.336294, Average Y value:,0.986797, Average Z value:,0.22881, Max X values:,0.754624,-0.44125, Max Y values:,1.026003,0.939327, Max Z values:,0.754624,-0.44125,,-0.042432
Average X value:,0.373082, Average Y value:,0.98405, Average Z value:,0.235812, Max X values:,0.754624,-0.298419, Max Y values:,1.026003,0.939327, Max Z values:,0.754624,-0.298419,,-0.050799
