You entered a buffer length of 20,x_20,,y_20_sideways,,z_20_sideways,,,,,,,,,,,x_100
Average X value:,0.28781, Average Y value:,0.982232, Average Z value:,0.247781, Max X values:,0.575414,0.033754, Max Y values:,1.084722,0.909418, Max Z values:,0.575414,0.033754,,-0.008976
Average X value:,0.284948, Average Y value:,0.980394, Average Z value:,0.243649, Max X values:,0.575414,0.007264, Max Y values:,1.084722,0.909418, Max Z values:,0.575414,0.007264,,-0.007713
Average X value:,0.277513, Average Y value:,0.982775, Average Z value:,0.238241, Max X values:,0.575414,-0.032167, Max Y values:,1.084722,0.909418, Max Z values:,0.575414,-0.032167,,-0.006278
Average X value:,0.263377, Average Y value:,0.986724, Average Z value:,0.234218, Max X values:,0.575414,-0.109321, Max Y values:,1.084722,0.909418, Max Z values:,0.575414,-0.109321,,-0.004369
Average X value:,0.241201, Average Y value:,0.98822, Average Z value:,0.232229, Max X values:,0.575414,-0.184765, Max Y values:,1.084722,0.909418, Max Z values:,0.575414,-0.184765,,-0.002445
Average X value:,0.212653, Average Y value:,0.9906, Average Z value:,0.232497, Max X values:,0.575414,-0.23152, Max Y values:,1.084722,0.909418, Max Z values:,0.575414,-0.23152,,-0.000192
Average X value:,0.177574, Average Y value:,0.985833, Average Z value:,0.233919, Max X values:,0.575414,-0.288042, Max Y values:,1.071293,0.909418, Max Z values:,0.575414,-0.288042,,0.00256
Average X value:,0.136837, Average Y value:,0.985119, Average Z value:,0.235689, Max X values:,0.575414,-0.333089, Max Y values:,1.071293,0.909418, Max Z values:,0.575414,-0.333089,,0.004971
Average X value:,0.089721, Average Y value:,0.984539, Average Z value:,0.236733, Max X values:,0.575414,-0.397912, Max Y values:,1.071293,0.909418, Max Z values:,0.575414,-0.397912,,0.006973
Average X value:,0.039254, Average Y value:,0.983043, Average Z value:,0.236013, Max X values:,0.429897,-0.433925, Max Y values:,1.071293,0.909418, Max Z values:,0.429897,-0.433925,,0.00908
Average X value:,-0.000934, Average Y value:,0.983446, Average Z value:,0.234957, Max X values:,0.429897,-0.467741, Max Y values:,1.071293,0.909418, Max Z values:,0.429897,-0.467741,,0.010753
Average X value:,-0.046676, Average Y value:,0.983135, Average Z value:,0.233059, Max X values:,0.392907,-0.484954, Max Y values:,1.071293,0.909418, Max Z values:,0.392907,-0.484954,,0.012313
Average X value:,-0.085595, Average Y value:,0.983532, Average Z value:,0.233211, Max X values:,0.340536,-0.484954, Max Y values:,1.071293,0.909418, Max Z values:,0.340536,-0.484954,,0.013408
Average X value:,-0.122768, Average Y value:,0.979314, Average Z value:,0.23207, Max X values:,0.329915,-0.484954, Max Y values:,1.03406,0.909418, Max Z values:,0.329915,-0.484954,,0.013756
Average X value:,-0.158396, Average Y value:,0.979772, Average Z value:,0.232949, Max X values:,0.273271,-0.484954, Max Y values:,1.03406,0.909418, Max Z values:,0.273271,-0.484954,,0.012028
Average X value:,-0.191271, Average Y value:,0.980345, Average Z value:,0.232015, Max X values:,0.214796,-0.484954, Max Y values:,1.03406,0.909418, Max Z values:,0.214796,-0.484954,,0.011302
Average X value:,-0.219386, Average Y value:,0.980919, Average Z value:,0.227956, Max X values:,0.20625,-0.484954, Max Y values:,1.03406,0.909418, Max Z values:,0.20625,-0.484954,,0.010994
Average X value:,-0.244436, Average Y value:,0.981731, Average Z value:,0.223811, Max X values:,0.153757,-0.484954, Max Y values:,1.03406,0.909418, Max Z values:,0.153757,-0.484954,,0.010827
Average X value:,-0.265531, Average Y value:,0.983068, Average Z value:,0.219899, Max X values:,0.077458,-0.484954, Max Y values:,1.045779,0.909418, Max Z values:,0.077458,-0.484954,,0.011896
Average X value:,-0.281047, Average Y value:,0.984746, Average Z value:,0.215797, Max X values:,0.033754,-0.484954, Max Y values:,1.045779,0.909418, Max Z values:,0.033754,-0.484954,,0.012293
Average X value:,-0.290551, Average Y value:,0.990814, Average Z value:,0.215162, Max X values:,0.007264,-0.484954, Max Y values:,1.045779,0.951657, Max Z values:,0.007264,-0.484954,,0.011849
Average X value:,-0.296063, Average Y value:,0.991137, Average Z value:,0.217201, Max X values:,-0.032167,-0.484954, Max Y values:,1.045779,0.958127, Max Z values:,-0.032167,-0.484954,,0.010864
Average X value:,-0.296399, Average Y value:,0.985515, Average Z value:,0.219484, Max X values:,-0.038882,-0.484954, Max Y values:,1.045779,0.909052, Max Z values:,-0.038882,-0.484954,,0.009599
Average X value:,-0.289202, Average Y value:,0.981304, Average Z value:,0.222023, Max X values:,0.034609,-0.484954, Max Y values:,1.045779,0.909052, Max Z values:,0.034609,-0.484954,,0.008011
Average X value:,-0.274742, Average Y value:,0.982219, Average Z value:,0.222981, Max X values:,0.104437,-0.484954, Max Y values:,1.045779,0.909052, Max Z values:,0.104437,-0.484954,,0.006613
Average X value:,-0.254782, Average Y value:,0.98134, Average Z value:,0.223054, Max X values:,0.167674,-0.484954, Max Y values:,1.045779,0.909052, Max Z values:,0.167674,-0.484954,,0.005418
Average X value:,-0.227938, Average Y value:,0.983928, Average Z value:,0.222853, Max X values:,0.248855,-0.484954, Max Y values:,1.045779,0.909052, Max Z values:,0.248855,-0.484954,,0.004041
Average X value:,-0.195379, Average Y value:,0.986944, Average Z value:,0.221437, Max X values:,0.318074,-0.484954, Max Y values:,1.045779,0.909052, Max Z values:,0.318074,-0.484954,,0.002979
Average X value:,-0.156296, Average Y value:,0.987811, Average Z value:,0.222279, Max X values:,0.383751,-0.484954, Max Y values:,1.045779,0.909052, Max Z values:,0.383751,-0.484954,,0.001817
Average X value:,-0.112043, Average Y value:,0.988427, Average Z value:,0.225807, Max X values:,0.451138,-0.484954, Max Y values:,1.045779,0.909052, Max Z values:,0.451138,-0.484954,,0.00072
Average X value:,-0.062168, Average Y value:,0.984301, Average Z value:,0.22834, Max X values:,0.529756,-0.484954, Max Y values:,1.045779,0.900262, Max Z values:,0.529756,-0.484954,,-0.000826
Average X value:,-0.00995, Average Y value:,0.984698, Average Z value:,0.23116, Max X values:,0.559421,-0.402918, Max Y values:,1.045779,0.900262, Max Z values:,0.559421,-0.402918,,-0.003305
Average X value:,0.033498, Average Y value:,0.985949, Average Z value:,0.22914, Max X values:,0.559421,-0.402918, Max Y values:,1.045779,0.900262, Max Z values:,0.559421,-0.402918,,-0.006656
Average X value:,0.074711, Average Y value:,0.985204, Average Z value:,0.232869, Max X values:,0.559421,-0.38424, Max Y values:,1.045779,0.900262, Max Z values:,0.559421,-0.38424,,-0.01004
Average X value:,0.112922, Average Y value:,0.985375, Average Z value:,0.234609, Max X values:,0.559421,-0.38424, Max Y values:,1.045779,0.900262, Max Z values:,0.559421,-0.38424,,-0.013432
Average X value:,0.148636, Average Y value:,0.983916, Average Z value:,0.236233, Max X values:,0.559421,-0.347494, Max Y values:,1.045779,0.900262, Max Z values:,0.559421,-0.347494,,-0.016462
Average X value:,0.182299, Average Y value:,0.983764, Average Z value:,0.23782, Max X values:,0.559421,-0.294757, Max Y values:,1.045779,0.900262, Max Z values:,0.559421,-0.294757,,-0.019233
Average X value:,0.212189, Average Y value:,0.983934, Average Z value:,0.238088, Max X values:,0.559421,-0.268144, Max Y values:,1.045779,0.900262, Max Z values:,0.559421,-0.268144,,-0.021919
Average X value:,0.238247, Average Y value:,0.982091, Average Z value:,0.237606, Max X values:,0.559421,-0.232863, Max Y values:,1.04114,0.900262, Max Z values:,0.559421,-0.232863,,-0.024251
Average X value:,0.259885, Average Y value:,0.983312, Average Z value:,0.2389, Max X values:,0.559421,-0.156321, Max Y values:,1.04114,0.900262, Max Z values:,0.559421,-0.156321,,-0.023983
Average X value:,0.277324, Average Y value:,0.97747, Average Z value:,0.2402, Max X values:,0.559421,-0.102973, Max Y values:,1.04114,0.900262, Max Z values:,0.559421,-0.102973,,-0.02349
Average X value:,0.290276, Average Y value:,0.979979, Average Z value:,0.243539, Max X values:,0.559421,-0.038882, Max Y values:,1.04114,0.900262, Max Z values:,0.559421,-0.038882,,-0.022391
Average X value:,0.297815, Average Y value:,0.981963, Average Z value:,0.246402, Max X values:,0.559421,0.034609, Max Y values:,1.04114,0.900262, Max Z values:,0.559421,0.034609,,-0.020712
Average X value:,0.299847, Average Y value:,0.979247, Average Z value:,0.246365, Max X values:,0.559421,0.075261, Max Y values:,1.04114,0.895501, Max Z values:,0.559421,0.075261,,-0.020034
Average X value:,0.297528, Average Y value:,0.978319, Average Z value:,0.244558, Max X values:,0.559421,0.058048, Max Y values:,1.04114,0.895501, Max Z values:,0.559421,0.058048,,-0.018429
Average X value:,0.292468, Average Y value:,0.978056, Average Z value:,0.241366, Max X values:,0.559421,0.058048, Max Y values:,1.04114,0.895501, Max Z values:,0.559421,0.058048,,-0.01624
Average X value:,0.282, Average Y value:,0.972978, Average Z value:,0.238748, Max X values:,0.559421,0.039492, Max Y values:,1.020875,0.895501, Max Z values:,0.559421,0.039492,,-0.014095
Average X value:,0.263663, Average Y value:,0.969267, Average Z value:,0.240988, Max X values:,0.559421,-0.048648, Max Y values:,1.014161,0.895501, Max Z values:,0.559421,-0.048648,,-0.01241
Average X value:,0.238851, Average Y value:,0.969017, Average Z value:,0.241616, Max X values:,0.559421,-0.112495, Max Y values:,1.014161,0.895501, Max Z values:,0.559421,-0.112495,,-0.011075
Average X value:,0.207538, Average Y value:,0.972484, Average Z value:,0.239816, Max X values:,0.559421,-0.175121, Max Y values:,1.042361,0.895501, Max Z values:,0.559421,-0.175121,,-0.010023
Average X value:,0.168717, Average Y value:,0.978429, Average Z value:,0.237411, Max X values:,0.559421,-0.246658, Max Y values:,1.042361,0.895501, Max Z values:,0.559421,-0.246658,,-0.008904
Average X value:,0.123836, Average Y value:,0.978642, Average Z value:,0.235482, Max X values:,0.483489,-0.338216, Max Y values:,1.042361,0.895501, Max Z values:,0.483489,-0.338216,,-0.007019
Average X value:,0.077605, Average Y value:,0.977477, Average Z value:,0.237631, Max X values:,0.421351,-0.441128, Max Y values:,1.042361,0.895501, Max Z values:,0.421351,-0.441128,,-0.005569
Average X value:,0.031038, Average Y value:,0.978386, Average Z value:,0.236965, Max X values:,0.381554,-0.50998, Max Y values:,1.042361,0.895501, Max Z values:,0.381554,-0.50998,,-0.004627
Average X value:,-0.01753, Average Y value:,0.977818, Average Z value:,0.23716, Max X values:,0.330037,-0.589819, Max Y values:,1.042361,0.895501, Max Z values:,0.330037,-0.589819,,-0.002816
Average X value:,-0.064469, Average Y value:,0.97802, Average Z value:,0.235757, Max X values:,0.325765,-0.608741, Max Y values:,1.042361,0.895501, Max Z values:,0.325765,-0.608741,,-0.000945
Average X value:,-0.10304, Average Y value:,0.977055, Average Z value:,0.233083, Max X values:,0.303058,-0.608741, Max Y values:,1.042361,0.895501, Max Z values:,0.303058,-0.608741,,0.001784
Average X value:,-0.145395, Average Y value:,0.97708, Average Z value:,0.233101, Max X values:,0.253006,-0.608741, Max Y values:,1.042361,0.895501, Max Z values:,0.253006,-0.608741,,0.004995
Average X value:,-0.186065, Average Y value:,0.975713, Average Z value:,0.2342, Max X values:,0.199902,-0.608741, Max Y values:,1.042361,0.895501, Max Z values:,0.199902,-0.608741,,0.008078
Average X value:,-0.223091, Average Y value:,0.97429, Average Z value:,0.233864, Max X values:,0.192456,-0.608741, Max Y values:,1.042361,0.895501, Max Z values:,0.192456,-0.608741,,0.010952
Average X value:,-0.256791, Average Y value:,0.977873, Average Z value:,0.230489, Max X values:,0.156076,-0.608741, Max Y values:,1.042361,0.895501, Max Z values:,0.156076,-0.608741,,0.013042
Average X value:,-0.284832, Average Y value:,0.976695, Average Z value:,0.22549, Max X values:,0.111884,-0.608741, Max Y values:,1.042361,0.895501, Max Z values:,0.111884,-0.608741,,0.014836
Average X value:,-0.305158, Average Y value:,0.980712, Average Z value:,0.220735, Max X values:,0.075261,-0.608741, Max Y values:,1.042361,0.895501, Max Z values:,0.075261,-0.608741,,0.015454
Average X value:,-0.320418, Average Y value:,0.983812, Average Z value:,0.217488, Max X values:,0.066471,-0.608741, Max Y values:,1.042361,0.939571, Max Z values:,0.066471,-0.608741,,0.013347
Average X value:,-0.331411, Average Y value:,0.983806, Average Z value:,0.216072, Max X values:,0.066471,-0.608741, Max Y values:,1.042361,0.939571, Max Z values:,0.066471,-0.608741,,0.012199
Average X value:,-0.337722, Average Y value:,0.985326, Average Z value:,0.220595, Max X values:,0.039492,-0.608741, Max Y values:,1.042361,0.939571, Max Z values:,0.039492,-0.608741,,0.011436
Average X value:,-0.339932, Average Y value:,0.986034, Average Z value:,0.225172, Max X values:,-0.0047,-0.608741, Max Y values:,1.042361,0.946652, Max Z values:,-0.0047,-0.608741,,0.010626
Average X value:,-0.332497, Average Y value:,0.988873, Average Z value:,0.227406, Max X values:,0.100043,-0.608741, Max Y values:,1.042361,0.953732, Max Z values:,0.100043,-0.608741,,0.012618
Average X value:,-0.318812, Average Y value:,0.987505, Average Z value:,0.228951, Max X values:,0.161204,-0.608741, Max Y values:,1.042361,0.953732, Max Z values:,0.161204,-0.608741,,0.013067
Average X value:,-0.297687, Average Y value:,0.98239, Average Z value:,0.228902, Max X values:,0.247391,-0.608741, Max Y values:,1.029054,0.94006, Max Z values:,0.247391,-0.608741,,0.01295
Average X value:,-0.26818, Average Y value:,0.981517, Average Z value:,0.228963, Max X values:,0.343466,-0.608741, Max Y values:,1.029054,0.94006, Max Z values:,0.343466,-0.608741,,0.012033
Average X value:,-0.230483, Average Y value:,0.982781, Average Z value:,0.229579, Max X values:,0.415736,-0.608741, Max Y values:,1.029054,0.94006, Max Z values:,0.415736,-0.608741,,0.0105
Average X value:,-0.185357, Average Y value:,0.983849, Average Z value:,0.228499, Max X values:,0.461393,-0.608741, Max Y values:,1.029054,0.94006, Max Z values:,0.461393,-0.608741,,0.008506
Average X value:,-0.134334, Average Y value:,0.984167, Average Z value:,0.225978, Max X values:,0.510468,-0.608741, Max Y values:,1.029054,0.94006, Max Z values:,0.510468,-0.608741,,0.006663
Average X value:,-0.078044, Average Y value:,0.985497, Average Z value:,0.224257, Max X values:,0.535982,-0.608741, Max Y values:,1.029054,0.94006, Max Z values:,0.535982,-0.608741,,0.004942
Average X value:,-0.020552, Average Y value:,0.986498, Average Z value:,0.225545, Max X values:,0.54111,-0.560398, Max Y values:,1.029054,0.94006, Max Z values:,0.54111,-0.560398,,0.003473
Average X value:,0.023585, Average Y value:,0.985955, Average Z value:,0.231331, Max X values:,0.54111,-0.560398, Max Y values:,1.029054,0.94006, Max Z values:,0.54111,-0.560398,,0.002202
Average X value:,0.06989, Average Y value:,0.986535, Average Z value:,0.233535, Max X values:,0.54111,-0.560398, Max Y values:,1.029054,0.94006, Max Z values:,0.54111,-0.560398,,0.000236
Average X value:,0.117622, Average Y value:,0.986852, Average Z value:,0.23478, Max X values:,0.54111,-0.540621, Max Y values:,1.029054,0.94006, Max Z values:,0.54111,-0.540621,,-0.001804
Average X value:,0.160947, Average Y value:,0.986712, Average Z value:,0.234859, Max X values:,0.54111,-0.481536, Max Y values:,1.029054,0.94006, Max Z values:,0.54111,-0.481536,,-0.004138
Average X value:,0.201727, Average Y value:,0.986681, Average Z value:,0.235982, Max X values:,0.54111,-0.404749, Max Y values:,1.029054,0.94006, Max Z values:,0.54111,-0.404749,,-0.007226
Average X value:,0.238693, Average Y value:,0.984661, Average Z value:,0.23771, Max X values:,0.54111,-0.294635, Max Y values:,1.029054,0.94006, Max Z values:,0.54111,-0.294635,,-0.01119
Average X value:,0.267015, Average Y value:,0.982433, Average Z value:,0.240109, Max X values:,0.54111,-0.229933, Max Y values:,1.016969,0.94006, Max Z values:,0.54111,-0.229933,,-0.015342
Average X value:,0.289599, Average Y value:,0.984441, Average Z value:,0.244595, Max X values:,0.54111,-0.161814, Max Y values:,1.016969,0.94006, Max Z values:,0.54111,-0.161814,,-0.019037
Average X value:,0.30636, Average Y value:,0.984667, Average Z value:,0.248642, Max X values:,0.54111,-0.059757, Max Y values:,1.016969,0.94006, Max Z values:,0.54111,-0.059757,,-0.022462
Average X value:,0.315272, Average Y value:,0.984392, Average Z value:,0.24736, Max X values:,0.54111,-0.0047, Max Y values:,1.016969,0.94006, Max Z values:,0.54111,-0.0047,,-0.026097
Average X value:,0.319825, Average Y value:,0.981847, Average Z value:,0.242727, Max X values:,0.54111,0.08637, Max Y values:,1.016969,0.902826, Max Z values:,0.54111,0.08637,,-0.029683
Average X value:,0.317213, Average Y value:,0.983068, Average Z value:,0.238119, Max X values:,0.54111,0.047793, Max Y values:,1.027834,0.902826, Max Z values:,0.54111,0.047793,,-0.031165
Average X value:,0.309296, Average Y value:,0.981603, Average Z value:,0.234096, Max X values:,0.54111,0.002869, Max Y values:,1.027834,0.902826, Max Z values:,0.54111,0.002869,,-0.031447
Average X value:,0.29494, Average Y value:,0.982164, Average Z value:,0.231441, Max X values:,0.54111,-0.039736, Max Y values:,1.027834,0.902826, Max Z values:,0.54111,-0.039736,,-0.03126
Average X value:,0.272795, Average Y value:,0.98156, Average Z value:,0.23091, Max X values:,0.54111,-0.099432, Max Y values:,1.027834,0.902826, Max Z values:,0.54111,-0.099432,,-0.030554
Average X value:,0.243051, Average Y value:,0.983947, Average Z value:,0.231093, Max X values:,0.54111,-0.179149, Max Y values:,1.064701,0.902826, Max Z values:,0.54111,-0.179149,,-0.028812
Average X value:,0.209302, Average Y value:,0.981938, Average Z value:,0.233284, Max X values:,0.54111,-0.213575, Max Y values:,1.064701,0.902826, Max Z values:,0.54111,-0.213575,,-0.027809
Average X value:,0.168296, Average Y value:,0.980675, Average Z value:,0.236483, Max X values:,0.54111,-0.30965, Max Y values:,1.064701,0.902826, Max Z values:,0.54111,-0.30965,,-0.025264
Average X value:,0.121803, Average Y value:,0.977959, Average Z value:,0.239785, Max X values:,0.54111,-0.393884, Max Y values:,1.064701,0.902826, Max Z values:,0.54111,-0.393884,,-0.021625
Average X value:,0.072532, Average Y value:,0.976262, Average Z value:,0.240768, Max X values:,0.437099,-0.444302, Max Y values:,1.064701,0.902826, Max Z values:,0.437099,-0.444302,,-0.017557
Average X value:,0.025722, Average Y value:,0.975383, Average Z value:,0.237832, Max X values:,0.39425,-0.499115, Max Y values:,1.064701,0.902826, Max Z values:,0.39425,-0.499115,,-0.013798
Average X value:,-0.019734, Average Y value:,0.975078, Average Z value:,0.2376, Max X values:,0.39425,-0.527071, Max Y values:,1.064701,0.902826, Max Z values:,0.39425,-0.527071,,-0.010755
Average X value:,-0.056412, Average Y value:,0.974223, Average Z value:,0.23561, Max X values:,0.334554,-0.527071, Max Y values:,1.064701,0.902826, Max Z values:,0.334554,-0.527071,,-0.008073
Average X value:,-0.092608, Average Y value:,0.97589, Average Z value:,0.232058, Max X values:,0.334554,-0.527071, Max Y values:,1.064701,0.902826, Max Z values:,0.334554,-0.527071,,-0.005534
Average X value:,-0.129604, Average Y value:,0.975438, Average Z value:,0.230159, Max X values:,0.334554,-0.527071, Max Y values:,1.064701,0.902826, Max Z values:,0.334554,-0.527071,,-0.003147
Average X value:,-0.167344, Average Y value:,0.976146, Average Z value:,0.230422, Max X values:,0.271806,-0.527071, Max Y values:,1.064701,0.902826, Max Z values:,0.271806,-0.527071,,-0.000493
Average X value:,-0.202075, Average Y value:,0.975279, Average Z value:,0.230172, Max X values:,0.221754,-0.527071, Max Y values:,1.064701,0.902826, Max Z values:,0.221754,-0.527071,,0.00197
Average X value:,-0.23124, Average Y value:,0.974358, Average Z value:,0.226454, Max X values:,0.173411,-0.527071, Max Y values:,1.064701,0.902826, Max Z values:,0.173411,-0.527071,,0.004136
Average X value:,-0.253635, Average Y value:,0.975761, Average Z value:,0.222352, Max X values:,0.118477,-0.527071, Max Y values:,1.064701,0.902826, Max Z values:,0.118477,-0.527071,,0.006424
Average X value:,-0.270488, Average Y value:,0.973576, Average Z value:,0.219294, Max X values:,0.08637,-0.527071, Max Y values:,1.064701,0.902826, Max Z values:,0.08637,-0.527071,,0.008688
Average X value:,-0.28283, Average Y value:,0.977776, Average Z value:,0.219795, Max X values:,0.047793,-0.527071, Max Y values:,1.064701,0.934688, Max Z values:,0.047793,-0.527071,,0.010681
Average X value:,-0.289343, Average Y value:,0.972258, Average Z value:,0.219099, Max X values:,0.002869,-0.527071, Max Y values:,1.064701,0.917475, Max Z values:,0.002869,-0.527071,,0.012562
Average X value:,-0.290112, Average Y value:,0.971049, Average Z value:,0.219075, Max X values:,-0.012513,-0.527071, Max Y values:,1.064701,0.910517, Max Z values:,-0.012513,-0.527071,,0.014287
Average X value:,-0.286175, Average Y value:,0.968992, Average Z value:,0.223268, Max X values:,0.039004,-0.527071, Max Y values:,1.064701,0.910151, Max Z values:,0.039004,-0.527071,,0.015708
Average X value:,-0.275823, Average Y value:,0.969926, Average Z value:,0.227565, Max X values:,0.107612,-0.527071, Max Y values:,1.064701,0.910151, Max Z values:,0.107612,-0.527071,,0.013719
Average X value:,-0.25853, Average Y value:,0.966886, Average Z value:,0.230153, Max X values:,0.166697,-0.527071, Max Y values:,1.008301,0.910151, Max Z values:,0.166697,-0.527071,,0.012695
Average X value:,-0.236086, Average Y value:,0.969798, Average Z value:,0.229873, Max X values:,0.235305,-0.527071, Max Y values:,1.013062,0.910151, Max Z values:,0.235305,-0.527071,,0.011606
Average X value:,-0.206421, Average Y value:,0.97133, Average Z value:,0.228664, Max X values:,0.283648,-0.527071, Max Y values:,1.013062,0.910151, Max Z values:,0.283648,-0.527071,,0.010967
Average X value:,-0.168766, Average Y value:,0.971611, Average Z value:,0.225868, Max X values:,0.359214,-0.527071, Max Y values:,1.013062,0.910151, Max Z values:,0.359214,-0.527071,,0.01233
Average X value:,-0.124843, Average Y value:,0.972313, Average Z value:,0.22524, Max X values:,0.43417,-0.527071, Max Y values:,1.013062,0.910151, Max Z values:,0.43417,-0.527071,,0.012384
Average X value:,-0.075975, Average Y value:,0.973808, Average Z value:,0.228121, Max X values:,0.47824,-0.527071, Max Y values:,1.013062,0.910151, Max Z values:,0.47824,-0.527071,,0.01175
Average X value:,-0.025191, Average Y value:,0.973753, Average Z value:,0.22892, Max X values:,0.488616,-0.422816, Max Y values:,1.013062,0.910151, Max Z values:,0.488616,-0.422816,,0.010501
Average X value:,0.014753, Average Y value:,0.974968, Average Z value:,0.228243, Max X values:,0.488616,-0.422816, Max Y values:,1.013062,0.910151, Max Z values:,0.488616,-0.422816,,0.00882
Average X value:,0.052567, Average Y value:,0.9739, Average Z value:,0.232949, Max X values:,0.488616,-0.422816, Max Y values:,1.013062,0.910151, Max Z values:,0.488616,-0.422816,,0.00712
Average X value:,0.091644, Average Y value:,0.974571, Average Z value:,0.236727, Max X values:,0.488616,-0.422816, Max Y values:,1.013062,0.910151, Max Z values:,0.488616,-0.422816,,0.00579
Average X value:,0.129293, Average Y value:,0.975469, Average Z value:,0.237746, Max X values:,0.488616,-0.422816, Max Y values:,1.013062,0.910151, Max Z values:,0.488616,-0.422816,,0.004395
Average X value:,0.166459, Average Y value:,0.978252, Average Z value:,0.236214, Max X values:,0.488616,-0.361533, Max Y values:,1.022829,0.910151, Max Z values:,0.488616,-0.361533,,0.002886
Average X value:,0.201099, Average Y value:,0.979729, Average Z value:,0.235872, Max X values:,0.488616,-0.274492, Max Y values:,1.022829,0.910151, Max Z values:,0.488616,-0.274492,,0.001715
Average X value:,0.230843, Average Y value:,0.978533, Average Z value:,0.236184, Max X values:,0.488616,-0.21858, Max Y values:,1.022829,0.910151, Max Z values:,0.488616,-0.21858,,0.000101
Average X value:,0.254648, Average Y value:,0.980779, Average Z value:,0.239193, Max X values:,0.488616,-0.160471, Max Y values:,1.022829,0.910151, Max Z values:,0.488616,-0.160471,,-0.001685
Average X value:,0.273021, Average Y value:,0.980895, Average Z value:,0.239883, Max X values:,0.488616,-0.082464, Max Y values:,1.022829,0.910151, Max Z values:,0.488616,-0.082464,,-0.00406
Average X value:,0.28742, Average Y value:,0.983251, Average Z value:,0.241165, Max X values:,0.488616,-0.012513, Max Y values:,1.022829,0.910151, Max Z values:,0.488616,-0.012513,,-0.006999
Average X value:,0.297125, Average Y value:,0.987853, Average Z value:,0.24216, Max X values:,0.488616,0.039004, Max Y values:,1.022829,0.910151, Max Z values:,0.488616,0.039004,,-0.010123
Average X value:,0.301019, Average Y value:,0.992456, Average Z value:,0.239571, Max X values:,0.488616,0.107612, Max Y values:,1.022829,0.949094, Max Z values:,0.488616,0.107612,,-0.013132
Average X value:,0.296118, Average Y value:,0.991479, Average Z value:,0.236489, Max X values:,0.488616,0.009583, Max Y values:,1.022829,0.949094, Max Z values:,0.488616,0.009583,,-0.016315
Average X value:,0.282464, Average Y value:,0.989385, Average Z value:,0.234102, Max X values:,0.488616,-0.106391, Max Y values:,1.022829,0.949094, Max Z values:,0.488616,-0.106391,,-0.019458
Average X value:,0.260746, Average Y value:,0.983172, Average Z value:,0.232772, Max X values:,0.488616,-0.199048, Max Y values:,1.022829,0.888787, Max Z values:,0.488616,-0.199048,,-0.022435
Average X value:,0.231136, Average Y value:,0.982824, Average Z value:,0.235793, Max X values:,0.488616,-0.308552, Max Y values:,1.022829,0.888787, Max Z values:,0.488616,-0.308552,,-0.025233
Average X value:,0.192578, Average Y value:,0.983587, Average Z value:,0.23959, Max X values:,0.488616,-0.411951, Max Y values:,1.022829,0.888787, Max Z values:,0.488616,-0.411951,,-0.026242
Average X value:,0.146756, Average Y value:,0.981756, Average Z value:,0.239773, Max X values:,0.488616,-0.482268, Max Y values:,1.022829,0.888787, Max Z values:,0.488616,-0.482268,,-0.025247
Average X value:,0.095562, Average Y value:,0.983098, Average Z value:,0.23652, Max X values:,0.488616,-0.545627, Max Y values:,1.023195,0.888787, Max Z values:,0.488616,-0.545627,,-0.024256
Average X value:,0.04028, Average Y value:,0.983105, Average Z value:,0.234878, Max X values:,0.459562,-0.617042, Max Y values:,1.023195,0.888787, Max Z values:,0.459562,-0.617042,,-0.022451
Average X value:,-0.015339, Average Y value:,0.982751, Average Z value:,0.235024, Max X values:,0.375694,-0.652811, Max Y values:,1.023195,0.888787, Max Z values:,0.375694,-0.652811,,-0.020295
Average X value:,-0.059733, Average Y value:,0.981548, Average Z value:,0.233663, Max X values:,0.375694,-0.652811, Max Y values:,1.023195,0.888787, Max Z values:,0.375694,-0.652811,,-0.019482
Average X value:,-0.107428, Average Y value:,0.980559, Average Z value:,0.232009, Max X values:,0.332723,-0.652811, Max Y values:,1.023195,0.888787, Max Z values:,0.332723,-0.652811,,-0.01761
Average X value:,-0.152005, Average Y value:,0.980352, Average Z value:,0.229915, Max X values:,0.331258,-0.652811, Max Y values:,1.023195,0.888787, Max Z values:,0.331258,-0.652811,,-0.01558
Average X value:,-0.192767, Average Y value:,0.978765, Average Z value:,0.229634, Max X values:,0.331258,-0.652811, Max Y values:,1.023195,0.888787, Max Z values:,0.331258,-0.652811,,-0.01311
Average X value:,-0.229982, Average Y value:,0.980242, Average Z value:,0.230031, Max X values:,0.320393,-0.652811, Max Y values:,1.038332,0.888787, Max Z values:,0.320393,-0.652811,,-0.010325
Average X value:,-0.263664, Average Y value:,0.9799, Average Z value:,0.230147, Max X values:,0.257523,-0.652811, Max Y values:,1.038332,0.888787, Max Z values:,0.257523,-0.652811,,-0.007939
Average X value:,-0.287994, Average Y value:,0.976842, Average Z value:,0.22784, Max X values:,0.206983,-0.652811, Max Y values:,1.038332,0.888787, Max Z values:,0.206983,-0.652811,,-0.006075
Average X value:,-0.303205, Average Y value:,0.973827, Average Z value:,0.225453, Max X values:,0.205518,-0.652811, Max Y values:,1.038332,0.888787, Max Z values:,0.205518,-0.652811,,-0.003839
Average X value:,-0.311622, Average Y value:,0.975987, Average Z value:,0.223238, Max X values:,0.181591,-0.652811, Max Y values:,1.038332,0.888787, Max Z values:,0.181591,-0.652811,,-0.002023
