You entered a buffer length of 100,x_100_up,,y_100_up,,z_100_up,,,,,,,,,
Average X value:,0.043895, Average Y value:,0.941244, Average Z value:,0.202089, Max X values:,0.301227,-0.182934, Max Y values:,2.472868,-0.152658, Max Z values:,0.301227,-0.182934
Average X value:,0.043295, Average Y value:,0.940491, Average Z value:,0.202855, Max X values:,0.301227,-0.182934, Max Y values:,2.472868,-0.152658, Max Z values:,0.301227,-0.182934
Average X value:,0.042787, Average Y value:,0.940876, Average Z value:,0.204229, Max X values:,0.301227,-0.182934, Max Y values:,2.472868,-0.152658, Max Z values:,0.301227,-0.182934
Average X value:,0.041865, Average Y value:,0.942603, Average Z value:,0.205879, Max X values:,0.301227,-0.182934, Max Y values:,2.472868,-0.152658, Max Z values:,0.301227,-0.182934
Average X value:,0.040592, Average Y value:,0.945163, Average Z value:,0.207382, Max X values:,0.301227,-0.182934, Max Y values:,2.472868,-0.152658, Max Z values:,0.301227,-0.182934
Average X value:,0.039995, Average Y value:,0.948622, Average Z value:,0.208523, Max X values:,0.301227,-0.182934, Max Y values:,2.472868,-0.152658, Max Z values:,0.301227,-0.182934
Average X value:,0.039891, Average Y value:,0.952939, Average Z value:,0.209405, Max X values:,0.301227,-0.182934, Max Y values:,2.472868,-0.152658, Max Z values:,0.301227,-0.182934
Average X value:,0.040055, Average Y value:,0.958074, Average Z value:,0.2102, Max X values:,0.301227,-0.182934, Max Y values:,2.472868,-0.136788, Max Z values:,0.301227,-0.182934
Average X value:,0.039791, Average Y value:,0.963532, Average Z value:,0.21149, Max X values:,0.301227,-0.182934, Max Y values:,2.472868,-0.11518, Max Z values:,0.301227,-0.182934
Average X value:,0.040083, Average Y value:,0.968863, Average Z value:,0.211638, Max X values:,0.301227,-0.182934, Max Y values:,2.472868,-0.046328, Max Z values:,0.301227,-0.182934
Average X value:,0.039503, Average Y value:,0.975348, Average Z value:,0.212749, Max X values:,0.301227,-0.182934, Max Y values:,2.472868,-0.020448, Max Z values:,0.301227,-0.182934
Average X value:,0.03948, Average Y value:,0.982316, Average Z value:,0.213875, Max X values:,0.301227,-0.182934, Max Y values:,2.472868,-0.020448, Max Z values:,0.301227,-0.182934
Average X value:,0.040121, Average Y value:,0.989649, Average Z value:,0.214561, Max X values:,0.301227,-0.182934, Max Y values:,2.472868,-0.020448, Max Z values:,0.301227,-0.182934
