time,src,dest,bytes,next,unack,cwnd,ssthresh,send window,rtt,rcw window
59.4809469,10.10.1.2:59230,10.10.2.1:5001,32,0xee38a366,0xee3826f6,22,21,231168,771414,29312
59.49287276,10.10.1.2:59230,10.10.2.1:5001,32,0xee38a90e,0xee382c9e,22,21,234112,775426,29312
59.50484126,10.10.1.2:59230,10.10.2.1:5001,32,0xee38aeb6,0xee383246,22,21,236928,778925,29312
59.51686179,10.10.1.2:59230,10.10.2.1:5001,32,0xee38b45e,0xee3837ee,22,21,239872,781978,29312
59.52892638,10.10.1.2:59230,10.10.2.1:5001,32,0xee38ba06,0xee383d96,22,21,242688,784665,29312
59.54081401,10.10.1.2:59230,10.10.2.1:5001,32,0xee38bfae,0xee38433e,22,21,245632,787016,29312
59.55278537,10.10.1.2:59230,10.10.2.1:5001,32,0xee38c556,0xee3848e6,22,21,248576,789057,29312
59.56485598,10.10.1.2:59230,10.10.2.1:5001,32,0xee38cafe,0xee384e8e,22,21,251392,790845,29312
59.57683275,10.10.1.2:59230,10.10.2.1:5001,32,0xee38d0a6,0xee385436,22,21,254336,792421,29312
59.58886147,10.10.1.2:59230,10.10.2.1:5001,32,0xee38d64e,0xee3859de,22,21,257280,793795,29312
59.60075891,10.10.1.2:59230,10.10.2.1:5001,32,0xee38dbf6,0xee385f86,22,21,260096,795000,29312
59.61282856,10.10.1.2:59230,10.10.2.1:5001,32,0xee38e19e,0xee38652e,22,21,262656,796039,29312
59.62474312,10.10.1.2:59230,10.10.2.1:5001,32,0xee38e746,0xee386ad6,22,21,262656,796997,29312
59.63688203,10.10.1.2:59230,10.10.2.1:5001,32,0xee38ecee,0xee38707e,22,21,262656,797825,29312
59.90057467,10.10.1.2:59230,10.10.2.1:5001,32,0xee38f296,0xee387626,22,21,262656,798572,29312
59.91264657,10.10.1.2:59230,10.10.2.1:5001,32,0xee38f83e,0xee387bce,22,21,262656,799205,29312
60.23650619,10.10.1.2:59230,10.10.2.1:5001,32,0xee38fde6,0xee388176,22,21,262656,799779,29312
60.2484836,10.10.1.2:59230,10.10.2.1:5001,32,0xee39038e,0xee38871e,22,21,262656,801748,29312
60.26042845,10.10.1.2:59230,10.10.2.1:5001,32,0xee390936,0xee388cc6,22,21,262656,803467,29312
60.27247501,10.10.1.2:59230,10.10.2.1:5001,32,0xee390ede,0xee38926e,22,21,262656,804981,29312
60.28447586,10.10.1.2:59230,10.10.2.1:5001,32,0xee391a2e,0xee389816,23,21,262656,807812,29312
60.29642945,10.10.1.2:59230,10.10.2.1:5001,32,0xee391fd6,0xee389dbe,23,21,262656,810288,29312
